,사업장명(회사이름),사업내용,모집직종,모집인원,직무내용,근무지주소,소재지주소,공지사이트,서류마감,근로자 수,매출액,성별,우대조건,임금액,근무시간,복리후생,제출서류
0,(주) 이지텍,,,,,(302-280) 대전 서구 월평동 245번지 401호,(302-280) 대전 서구 월평동 245번지 401호,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38775262,2020.11.13,,,무관,상세보기전공컴퓨터/시스템공학자격증정보처리기사닫기,면접 후 결정                            상세보기면접 후 협의닫기,주 5일(월~금) 오전 9시~오후 6시,"지원금/보험
건강검진, 통신비 지원, 해외여행 지원


급여제도
퇴직연금, 장기근속자 포상, 성과급, 야근수당, 연차수당, 4대 보험


선물
명절선물/귀향비, 생일선물/파티, 크리스마스 선물


교육/생활
우수사원시상식, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 도서구입비지원, ...


근무 환경
휴게실, 회의실, 공기청정기, 스마트기기, 노트북, 사원증, 사내도서관, 사무용품 ...


조직문화
무제한 연차, 노조/노사협의회, 수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장


리프레시
연차, 여름휴가, 반차, Refresh휴가, 근로자의 날 휴무, 산전 후 휴가, 육아휴직

",사람인 이력서 양식
1,과학기술연합대학원대학교,,,,,,,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38761792,2020.10.14,,,무관,,회사내규에 따름                    ,,,
2,충남대학교산학협력단,,,,,,,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38773840,2020.10.05,,,무관,상세보기전공컴퓨터/시스템공학닫기,회사내규에 따름                    ,주 5일(월~금) ,,"제출서류 보기제출서류- 이력서(첨부 서식 1)
- 자기소개서(첨부 서식 2)
- 개인정보 수집·이용에 대한 동의서 1부(첨부 서식 3)
- 학위별 졸업증명서 1부
- 경력증명서 1부
- 최근 3년치 연구실적(실적목록 별도 첨부)
   ※ 최종 합격자 추가 제출서류 별도 통보닫기참고자료 보기참고자료응시원서개인정보수..닫기"
3,(주)스트라티오코리아,,,,,(305-340) 대전 유성구 도룡동 3-1 대전마케팅공사 관리동3층,(305-340) 대전 유성구 도룡동 3-1 대전마케팅공사 관리동3층,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38781011,2020.09.30,,,무관,"상세보기전공컴퓨터/시스템공학자격증정보처리기사활동/경험해당직무 인턴경력, 해당직무 알바경험, 해당직무 근무경험닫기","2,400~2,600만원                            상세보기면접 후 결정닫기",주 5일(월~금) 오전 9시~오후 6시,"지원금/보험
통신비 지원


급여제도
장기근속자 포상, 우수사원포상, 퇴직금, 휴일(특근)수당, 4대 보험


선물
명절선물/귀향비


교육/생활
우수사원시상식, 워크샵, 사우회(경조사회)

",사람인 이력서 양식
4,(주)에이블정보기술,,,,,(34050) 대전 유성구 문지로 272-37(문지동),(34050) 대전 유성구 문지로 272-37(문지동),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38779467,2020.10.15,,,무관,,면접 후 결정                    ,주 5일(월~금) 오전 9시~오후 6시,"지원금/보험
건강검진, 각종 경조사 지원


급여제도
퇴직연금, 4대 보험


선물
명절선물/귀향비, 생일선물/파티


교육/생활
자격증취득지원, 교육비 지원, 자기계발비 지원, 음료제공(차, 커피)


근무 환경
공기청정기, 사원증, 사무용품 지급


조직문화
회식강요 안함, 야근강요 안함


리프레시
여름휴가

",자사양식
5,(주)스마트제어계측,,,,,(305-500) 대전 유성구 용산동 533-1 미건테크노월드 2차 A동 106호,(305-500) 대전 유성구 용산동 533-1 미건테크노월드 2차 A동 106호,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38666925,2020.10.24,,,무관,"상세보기전공전기/전자공학, 컴퓨터/시스템공학활동/경험해당직무 근무경험닫기",면접 후 결정                    ,주 5일(월~금) 오전 9시~오후 6시,"지원금/보험
단체 상해보험


급여제도
퇴직금, 4대 보험


선물
명절선물/귀향비, 생일선물/파티


교육/생활
워크샵, 점심식사 제공, 사우회(경조사회), 음료제공(차, 커피)


근무 환경
회의실, 유니폼지급, 사무용품 지급


리프레시
연차

",사람인 이력서 양식
6,(주)아이티룩스,,,,,(34573) 대전 동구 동서대로 1708 명신빌딩(가양동),(34573) 대전 동구 동서대로 1708 명신빌딩(가양동),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38770301,2020.10.31,,,무관,,회사내규에 따름                    ,주 5일(월~금) 오전 9시~오후 6시,,사람인 이력서 양식
7,(주)수산아이앤티 (구 플러스기술),,,,,"(35209) 대전 서구 둔산동 949 신용협동조합중앙회, 12층 수산아이앤티 부설연구소","(35209) 대전 서구 둔산동 949 신용협동조합중앙회, 12층 수산아이앤티 부설연구소",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38777328,2020.10.16,,,무관,상세보기자격증정보처리기사닫기,회사내규에 따름                    ,주 5일(월~금) 탄력근무제,"지원금/보험
건강검진, 각종 경조사 지원, 단체 상해보험, 본인학자금, 통신비 지원, 자녀학자금


급여제도
인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험


교육/생활
창립일행사, 우수사원시상식, 워크샵, 플레이샵, 외국어 교육 지원, 점심식사 제공,...


근무 환경
콘도/리조트 이용권


조직문화
자유복장


출퇴근
기숙사 운영, 차량유류비지급


리프레시
연차, 창립일휴무, 근로자의 날 휴무, 포상휴가

",사람인 이력서 양식
8,(주)플랜아이,,,,,(34050) 대전 유성구 문지동 282-10,(34050) 대전 유성구 문지동 282-10,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38777278,2020.10.30,,,무관,,회사내규에 따름                    ,주 5일(월~금) 오전 9시~오후 6시,"지원금/보험
직원대출제도, 각종 경조사 지원, 본인학자금, 통신비 지원, 선택적복리후생, 자녀학자금


급여제도
퇴직연금, 인센티브제, 장기근속자 포상, 우수사원포상, 가족수당, 4대 보험


선물
명절선물/귀향비, 생일선물/파티, 크리스마스 선물


교육/생활
우수사원시상식, 워크샵, 플레이샵, 신입사원교육(OJT), 교육비 지원, 자기계발비 지...


근무 환경
휴게실, 수면실, 회의실, 카페테리아, 전용 사옥, 유니폼지급, 노트북, 사원증, 콘도...


조직문화
노조/노사협의회, 자유복장, 캐주얼데이


출퇴근
차량유류비지급, 주차장제공, 회사차량 있음, 탄력근무제

",자유양식
9,(주)알파아이엔씨,,,,,"(34437) 대전 대덕구 오정로78번길 114, 알파아이엔씨 빌딩 2층 시스템사업부","(34437) 대전 대덕구 오정로78번길 114, 알파아이엔씨 빌딩 2층 시스템사업부",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38702835,2020.09.28,,,무관,,"4,300 만원                            상세보기면접 후 결정닫기",주 5일(월~금) 오전 9시~오후 6시,"지원금/보험
통신비 지원


급여제도
퇴직금, 4대 보험


출퇴근
차량유류비지급

",사람인 이력서 양식
