,사업장명(회사이름),사업내용,모집직종,모집인원,직무내용,근무지주소,소재지주소,공지사이트,서류마감,근로자 수,매출액,성별,우대조건,임금액,근무시간,복리후생,제출서류
0,크로스종합건설(주),"사업내용
건축공사,토목공사/부동산 임대,개발,공급",,,,,,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38743828,2020.09.22,,,무관,,회사내규에 따름                    ,,,
1,(재)대중소기업농어업협력재단,"사업내용
경영컨설팅/기술자료임치,제공",,,,,,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38744414,2020.10.05,,,무관,,회사내규에 따름                    ,,,
2,철이네트워크,"업종
전기·전자·제어
02대표자명
김성철",,,,,,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38751685,2020.09.23,,,무관,,회사내규에 따름                    ,,,
3,(주)경원알미늄,"사업내용
창호,철물,철골,조립식,철골,조립식, 금속가공제품,창호,철물,건축자재,응용연구및실험개발",,,,(34206) 대전 유성구 교촌대정로 202 (주)경원(대정동),(34206) 대전 유성구 교촌대정로 202 (주)경원(대정동),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38761969,2020.09.30,,,무관,,회사내규에 따름                    ,근무일시,"복리후생지원금/보험
                                각종 경조사 지원                            급여제도
                                퇴직연금, 4대 보험                            선물
                                장기근속 선물                            교육/생활
                                창립일행사, 우수사원시상식, 신입사원교육(OJT), 도서구입비지원, 자기계발비 지원...                            근무 환경
                                사내도서관                            내용 전체보기","
                            사람인 이력서 양식                                                            제출서류 보기제출서류이력서, 자기소개서닫기"
4,국가보안기술연구소,"업종
부동산 임대업
02대표자명
정창호",,,,,,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38744974,2020.09.25,,,무관,,회사내규에 따름                    ,,,
5,(주)프리마인,"사업내용
건강기능식품",,,,,,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38682320,2020.09.30,,,무관,,면접 후 결정                    ,,,
6,,,,,,(34027) 대전 유성구 테크노10로 54 주식회사파나진(탑립동),(34027) 대전 유성구 테크노10로 54 주식회사파나진(탑립동),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38713507,2020.09.23,,,무관,,회사내규에 따름                    ,,,자사양식
7,대한상공회의소 충남인력개발원,"사업내용
국가기간전략산업직종훈련 등",,,,,,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38700093,2020.10.20,,,무관,,회사내규에 따름                    ,,,
8,(주)스트라티오코리아,"사업내용
시스템 소프트웨어 개발 및 공급업
04브랜드
LinkSquare(링크스퀘어)",,,,,,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38634125,2020.09.30,,,무관,,회사내규에 따름                    ,근무일시,,
9,비앤에프테크놀로지㈜,"사업내용
소프트웨어(제어,감시솔루션) 개발/부가통신,전자상거래,정보처리,컴퓨터운용/무유선통신기기 제조,도매",,,,(305-500) 대전 유성구 용산동 테크노2로 170-10번지,(305-500) 대전 유성구 용산동 테크노2로 170-10번지,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=38722196,2020.11.02,,,무관,,회사내규에 따름                    ,근무일시,"복리후생지원금/보험
                                건강검진, 단체 상해보험                            급여제도
                                퇴직연금, 상여금, 장기근속자 포상, 퇴직금, 4대 보험                            선물
                                명절선물/귀향비, 창립일선물지급, 임신/출산 선물                            교육/생활
                                창립일행사, 교육비 지원, 구내식당(사원식당), 식비 지원, 음료제공(차, 커피)                            근무 환경
                                카페테리아                            조직문화
                                수평적 조직문화                            출퇴근
                                탄력근무제                            리프레시
                                연차, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가,...                            내용 전체보기",자사양식제출서류 보기제출서류자사 양식 입사지원서닫기
